column1,strokeCount,search_result
亜,7,2.79
院,10,4.385
押,8,3.7133333333333334
魁,14,3.34
粥,12,4.86
機,16,3.4428571428571426
供,8,3.03
掘,11,3.48
検,12,3.1
后,6,3.236
此,6,2.445
察,14,2.376
次,6,2.816666666666667
宗,8,2.35
勝,12,2.1999999999999997
拭,9,4.4366666666666665
澄,15,2.5285714285714285
繊,17,3.3333333333333335
臓,19,4.455
叩,5,3.5540000000000003
帖,8,4.4366666666666665
邸,8,4.615
董,12,2.59
如,6,1.8557142857142856
函,8,4.9
鼻,14,4.89
福,13,2.2625
法,8,2.7866666666666666
漫,14,2.804
諭,16,2.4975
痢,12,4.52
蓮,13,4.35
弌,4,3.97
僉,13,2.27
辧,16,3.0325
咫,9,3.3049999999999997
圈,11,3.9275
奸,6,1.9233333333333333
屐,10,3.47
廖,14,3.465
悄,10,2.21
戞,12,4.18
據,16,2.0233333333333334
曄,14,2.94
棔,12,4.7
檗,17,
沺,8,2.1
漾,14,3.395
燹,18,4.8
瓠,12,4.86
癲,24,2.34
磧,16,3.005
筺,13,4.86
紂,9,4.5
罅,17,4.39
隋,12,3.618
茵,9,4.84
蕁,15,1.46
蝓,15,4.785
襦,19,4.96
譟,20,3.01
蹇,17,3.78
遏,12,2.95
錙,16,2.9633333333333334
陝,10,3.48
顱,25,4.79
髻,16,4.5
鵝,18,4.81
堯,12,3.085
唖,10,2.8
娃,9,2.16
阿,8,3.698
哀,9,1.9866666666666668
愛,13,2.145
挨,10,3.64
姶,9,2.76
逢,10,3.0
葵,12,
茜,9,3.3
穐,16,3.27
悪,11,2.1466666666666665
握,12,3.8066666666666666
渥,12,2.61
旭,6,3.485
葦,13,4.7
芦,7,4.7
鯵,19,5.0
梓,11,4.59
圧,5,2.492
斡,14,2.75
扱,6,3.6233333333333335
宛,8,2.283333333333333
姐,8,3.9899999999999998
虻,9,4.97
飴,13,4.845000000000001
絢,12,2.07
綾,14,2.865
鮎,16,4.11
或,8,2.274
粟,12,3.88
袷,11,3.59
安,6,2.5816666666666666
庵,11,3.03
按,9,2.5433333333333334
暗,13,2.865
案,10,2.3922222222222222
闇,17,2.4466666666666668
鞍,15,4.85
杏,7,4.97
以,5,1.9233333333333333
伊,6,1.54
位,7,3.26
依,8,1.99
偉,12,1.865
囲,7,3.084285714285714
夷,6,3.115
委,8,2.774
威,9,2.13
尉,11,3.515
惟,11,2.3
意,13,2.5775
慰,15,2.6542857142857144
易,8,1.9024999999999999
椅,12,4.58
為,9,2.57
畏,9,2.0725
異,11,2.0485714285714285
移,11,3.14
維,14,4.746666666666666
緯,16,3.355
胃,9,4.5649999999999995
萎,11,2.97
衣,6,4.523333333333333
謂,16,2.5925
違,13,1.87
遺,15,2.2733333333333334
医,7,4.74
井,4,3.705
亥,6,3.8449999999999998
域,11,3.4775
育,8,3.2424999999999997
郁,9,3.38
磯,17,4.71
一,1,3.97
壱,7,3.97
溢,13,3.3833333333333333
逸,11,2.3
稲,14,4.86
茨,9,4.720000000000001
芋,6,4.85
鰯,21,5.0
允,4,3.1333333333333333
印,6,4.015555555555555
咽,9,3.5033333333333334
員,10,2.9749999999999996
因,6,2.162
姻,9,2.57
引,4,3.1385714285714283
飲,12,4.26
淫,11,2.21
胤,9,2.9733333333333336
蔭,14,3.59
陰,11,3.08
隠,14,3.5433333333333334
韻,19,2.8466666666666667
吋,6,4.37
右,5,3.47
宇,6,4.055
烏,10,4.895
羽,6,4.17
迂,6,3.86
