Kanji,StrokeCount,MeaningOne,MeaningTwo,MeaningThree,MeaningFour,MeaningFive,MeaningSix,MeaningSeven,MeaningEight,MeaningNine,MeaningTen
亜,7,Asia,rank,come,-ous,,,,,,
院,10,Inst.,institution,temple,mansion,school,,,,,
押,8,push,stop,check,subdue,attach,seize,weight,shove,press,seal
魁,14,charging,,,,,,,,,
粥,12,rice,,,,,,,,,
機,16,loom,mechanism,machine,airplane,opportunity,potency,efficacy,occasion,,
供,8,submit,offer,present,serve,accompany,,,,,
掘,11,dig,delve,excavate,,,,,,,
検,12,examination,investigate,,,,,,,,
后,6,empress,queen,after,behind,back,later,,,,
此,6,this,current,next,coming,last,past,,,,
察,14,guess,presume,surmise,judge,understand,,,,,
次,6,next,order,sequence,,,,,,,
宗,8,religion,sect,denomination,main,origin,essence,,,,
勝,12,victory,win,prevail,excel,,,,,,
拭,9,wipe,mop,swab,,,,,,,
澄,15,lucidity,be,clear,clarify,settle,strain,look,,,
繊,17,slender,fine,thin,,,,,,,
臓,19,entrails,viscera,bowels,,,,,,,
叩,5,strike,beat,kow,hit,thrash,criticize,,,,
帖,8,quire,bundle,counter,notebook,,,,,,
邸,8,residence,mansion,,,,,,,,
董,12,correct,,,,,,,,,
如,6,likeness,like,such,as,better,best,equal,,,
函,8,box,,,,,,,,,
鼻,14,nose,snout,,,,,,,,
福,13,blessing,fortune,luck,wealth,,,,,,
法,8,method,law,rule,principle,model,system,,,,
漫,14,cartoon,involuntarily,unrestrained,in,corrupt,,,,,
諭,16,rebuke,admonish,charge,warn,persuade,,,,,
痢,12,diarrhea,,,,,,,,,
蓮,13,lotus,,,,,,,,,
弌,4,one,,,,,,,,,
僉,13,all,,,,,,,,,
辧,16,manage,do,handle,deal,,,,,,
咫,9,short,span,,,,,,,,
圈,11,sphere,circle,radius,range,,,,,,
奸,6,wickedness,mischief,rudeness,,,,,,,
屐,10,clog,,,,,,,,,
廖,14,empty,name,,,,,,,,
悄,10,anxiety,,,,,,,,,
戞,12,lance,tap,,,,,,,,
據,16,to,take,a,,,,,,,
曄,14,shine,flourishing,,,,,,,,
棔,12,silk,,,,,,,,,
檗,17,Amur,,,,,,,,,
沺,8,vast,,,,,,,,,
漾,14,drift,flow,,,,,,,,
燹,18,prairie,,,,,,,,,
瓠,12,gourd,,,,,,,,,
癲,24,insanity,,,,,,,,,
磧,16,expanse,pebbly,,,,,,,,
筺,13,bamboo,,,,,,,,,
紂,9,harness,window,,,,,,,,
罅,17,fissure,crack,hole,,,,,,,
隋,12,name,remains,bury,fall,sag,,,,,
茵,9,cushion,mattress,,,,,,,,
蕁,15,a,,,,,,,,,
蝓,15,slug,snail,,,,,,,,
襦,19,underwear,,,,,,,,,
譟,20,shout,be,,,,,,,,
蹇,17,cripple,,,,,,,,,
遏,12,stop,suppress,,,,,,,,
錙,16,unit,small,slight,,,,,,,
陝,10,place,,,,,,,,,
顱,25,head,skull,,,,,,,,
髻,16,samurai,,,,,,,,,
鵝,18,goose,,,,,,,,,
堯,12,high,far,,,,,,,,
唖,10,mute,dumb,,,,,,,,
娃,9,beautiful,,,,,,,,,
阿,8,Africa,flatter,fawn,corner,nook,recess,,,,
